Key, Image, Comment, GridSize, Actual,Grass, %Grass,Algorithm,Canopeo,,,,,,,,,,,,,,, 
1, Ta00133.jpg,   ,100,100,39,39,32.16577659,29.02,,,,,,,,,,,,,,, 
2, Ta00147.jpg,   ,100,100,38,38,29.19614826,23.38,,,,,,,,,,,,,,, 
3, Ta00156.jpg,   ,100,100,8,8,7.360783621,5.46,,,,,,,,,,,,,,, 
4, Ta00159.jpg,   ,100,100,15,15,11.34867307,8.97,,,,,,,,,,,,,,, 
5, Ta00162.jpg,   ,100,100,19,19,12.37883121,10.9,,,,,,,,,,,,,,, 
6, Ta00174.jpg,   ,100,100,23,23,18.25578987,14.95,,,,,,,,,,,,,,, 
7, Ta00188.jpg,   ,100,100,0,0,1.533677319,0,,,,,,,,,,,,,,, 
8, Ta00193.jpg,   ,100,100,17,17,15.96877312,12.93,,,,,,,,,,,,,,, 
9, Ta00200.jpg,   ,100,100,3,3,2.164888115,1.5,,,,,,,,,,,,,,, 
10, Ta00209.jpg,   ,100,100,0,0,1.734893721,0,,,,,,,,,,,,,,, 
11, Ta00221.jpg,   ,100,100,5,5,4.816299623,2.93,,,,,,,,,,,,,,, 
12, Ta00232.jpg,   ,100,100,9,9,10.4940468,8.3,,,,,,,,,,,,,,, 
13, Ta00239.jpg,   ,100,100,13,13,11.58487905,10.5,,,,,,,,,,,,,,, 
14, Ta00243.jpg,   ,100,100,17,17,13.51674254,11.6,,,,,,,,,,,,,,, 
15, Ta00263.jpg,   ,100,100,16,16,11.72885507,9.2,,,,,,,,,,,,,,, 
16, Ta00309.jpg,   ,100,100,3,3,5.113549958,2.79,,,,,,,,,,,,,,, 
17, Ta00310.jpg,   ,100,100,13,13,11.82852421,8.9,,,,,,,,,,,,,,, 
18, Ta00370.jpg,   ,100,100,20,20,15.2258151,13.35,,,,,,,,,,,,,,, 
19, Ta00373.jpg,   ,100,100,0,0,2.921492061,1.15,,,,,,,,,,,,,,, 
20, Ta00388.jpg,   ,100,100,18,18,14.03448303,12.96,,,,,,,,,,,,,,, 
21, Ta00401.jpg,   ,100,100,26,26,22.55678833,19.08,,,,,,,,,,,,,,, 
22, Ta00422.jpg,   ,100,100,12,12,12.08821567,9.08,,,,,,,,,,,,,,, 
23, Ta00441.jpg,   ,100,100,13,13,8.515633044,6.39,,,,,,,,,,,,,,, 
24, Ta00445.jpg,   ,100,100,8,8,6.430940158,4.68,,,,,,,,,,,,,,, 
